#separator:tab
#html:true
a, az	the
alatt	under, below
barna	brown
bogár	bug, beetle
béka	frog
cica	kitten
cseresznye	cherry
csíkos	striped
csütörtök	Thursday
cukor	sugar
drága	expensive
egész	all, entire
előtt	in front of
enni	eat
este	evening
eső	rain
fehér	white
fekszik	lie
felhős	cloudy
fogat	tooth
fok	degree
folyó	river
fúj	blow
fürdeni	to bathe
főzni	to cook
gazdag	rich, wealthy
gyors	fast
gyík	lizard
hegy	mountain
holnap	tomorrow
holnapután	the day after tomorrow
honnan	from where
hosszú	long
hova, hová	where to
hétfő	Monday
hétvége	weekend
híd	bridge
hó	snow
hölgyem	madam
ide	over here
idő	weather, date, time
ing	shirt
innen	from here
inni, iszik	to drink
jég	ice
jön	come
kacsa	duck
kedd	Tuesday
kerül	cost, get somewhere
kezdődik	starts, begins
kiabál	shout
korán	early
kék	blue
kérdés	question
között	between, among
lakik	reside
lenni	to be
lesz	will have
ma	today
macska	cat
majom	monkey, ape
mellett	next to
menni, megy	to go
mikor	when
minden	every, all
mos	brush, wash
mosolyog	smile
munka	work
mély	deep
méz	honey
mögött	behind
negyed	quarter
nyár	summer
néhány	a few, a couple of, some
oda	to there
okos	smart, clever
olcsó	cheap
onnan	from there, of there
oroszlán	lion
paradicsom	tomato
perc	minute
pillangó	butterfly
polc	shelf
próbafülke	fitting room
péntek	Friday
rendező	director
ritkán	rarely
ruha	dress
rövid	short, brief
szabadnap	day off
szelet	wind
szerda	Wednesday
szeret	like
szombat	Saturday
száraz	dry
sál	scarf
sárga	yellow
sült	fried, grilled
tavasz	spring
tenger	sea
titkárnő	secretary
tojás	egg
táska	bag
tél	winter
tér	square
tűz	fire
uborka	cucumber
uram	Sir
utazik	travel
utca	street
vacsora	dinner
vasárnap	Sunday
venni, vesz	buy
vásárolni	to do shopping
zöld	green
állat	animal
ára	price
éjfél	midnight
étterem	restaurant
óvónő	kindergarten teacher
örül	glad, happy
öv	belt
úszik	swim
út	path, road
ünnepnap	holiday
üveg	glass, bottle
üzlet	shop, business
parkoló	parking lot
benzinkút	petrol station
konditerem	gym
mozi	cinema
élelmiszer	grocery
kocsma	pub
kollégium	dormitory
játszótér	playground
fodrász	hairdresser
hentes	butcher
előzmény	background, prior event
birodalom, császárság	empire
királyság	kingdom
rész	part
jelentős, meghatározó	significant
korlátozott	limited
önállóság	autonomy
hír	news
érkezik	to arrive
kitör/kirobban	to break out
nyomda	press
börtön	prison
ifjak	youngsters
gyűlik	to gather
polgárság	bourgeoisie
követelés	demand
maguk mellé állít	to make them stand by them
kiszabadít	to get sy free
cipő	bread loaf / shoe
kesztyű	glove
papucs	slippers
ágy	bed
bőrönd	suitcase
kifejezések	expressions
uralkodás	reign
elköteleződni	to commit
végleges	final
vég	end
jobb	right
bal	left
ereklye	relic
körmenet	procession
kör	round
terület	territory
háború	war
kivonul	to withdraw
hadsereg	army
támogat	support
átvesz	to take over
egypártrendszer	one party system
kialakít	create, establish
eltérő	different
vall	profess/hold views
egyház	church institution
értelmiség	intelligentsia
üldöz	to persecute
gyűlölt, utál	hate
vezető	leader
honfoglalás	conquest
sztyeppe	steppe
vándorlás	wandering, migration
követ	follow
törzs	tribe
Kárpát-medence	Carpathian Basin
letelepedni	to settle
hűség	loyalty
remény	hope
hónap	month
halál	death
trónviszály	throne conflict
kiad	issue, publish
legfontosabb	most important
közjogi	public law
ami, amely	which
nemesek	nobles
jog	law, right
összegez	summarize
származik	come from, originate
harcot vív	fight
határ	border
csatlakozik	join
seregek	troops
terjeszkedés	expansion
harangszó	bell ring
diadal	victory
fénykor	golden age
válik	become
hódoltság	occupation
súlyos	severe
vereség	defeat
központ	center
közel	approximately
közül	among
kiemelkedik	stand out
ostrom	siege
elveszít	lose
százalék	percent
indul	begin, start, depart
szület	be born
társadalmi	social
változás	change
zajlott	take place, happen
nádor	king's representative
jóváhagyás	approval
felelős	responsible
kormány	government
tag	member
belügyminiszter	minister of interior
pénzügyminiszter	minister of finance
hadügyminiszter	minister of war
ipar	industry
kereskedelem	trade
köz	common, public
tudomány	science
mezőgazdaság	agriculture
összekötő	connecting
kőhíd	stone bridge
cél	goal
hivatalos	official
védelem	protection
keret	frame, framework
viszony	relation
lebontás	dismantling, abolition
lever	suppress
tábornok	army general
letesz	put down
fegyver	gun, arms
honvédtiszt	army officer
kivégez	execute, kill
itél	to sentence
kényszermunká	forced labour
legtöbb	most (en)
megsemmisit	to abolish, see semmi
közigazgatas	public administration
vértanú	martyr
Mennyi	How much
Hány	How many
gyufa	matches
lyuk	hole
név	name
tyúk	chicken bird
újság	newspaper
űrhajós	astronaut
ország	country
főváros	capital city
mesél	tell stories
iroda	office
számítógép	computer
nyomtató	printer
kényelmes	comfortable
kényelmetlen	uncomfortable
kellemes	pleasant
gyönyörű	gorgeous / wonderful
szabad	free / available
elfoglalt	busy
működik	it works
segít	to help
küld	to send
kap	to receive / get
vonal	line (phone)
gyakorol	practise
áruház	department store
bevásárlóközpont	shopping centre
színház	theatre
kávézó	café
cukrászda	cake shop
uszoda	swimming pool
kereszteződés	crossroad
belváros	city centre
templom	church building
bicikli / kerékpár	bicycle
gyalog	on foot
jegy	ticket
egyenesen	straight ahead
fordul	to turn
nincs messze	not far
oldalon	side
Legyen szíves!	Excuse me! / Please!
jár	to go regularly
majd	later / then
soha	never
megbeszélés	discussion meeting
kiállítás	exhibition
kiegyezés	compromise
megtorlás	reprisal, repression
ellen	against
ellenállás	resistance
tárgyalás	negotiation
létrejött	was created, established
tart	to last; to remain open/closed
tekinthető	can be seen as...
átalakulás	transition
magadat	yourself accusative
egymás	each other accusative
magamat	myself
engem	me accusative
téged	you accusative
élvez	enjoy
figyelmeztet	warn
műt	operate
tol	push
meglátogat	visit
talál	find
figyel	watch
ismer	know
kér	ask for
használ	use
hall	hear
hoz	bring
bérel	rent
gyűjt	collect
vág	cut
költ	spend
vérzik	bleed
viszket	itch
tör	break
szokott	usually do
boka	ankle
ujj	finger
vér	blood
torok	throat
szőr	fur
comb	thigh
fenék	buttocks
térd	knee
bajusz	mustache
bőr	skin
gerinc	spine
váll	shoulder
kéz	hand
haj	hair
nyak	neck
sarok	heel, corner
kar	arm
arc	face
szem	eye
fül	ear
láb	leg
száj	mouth
fej	head
has	belly
orr	nose
szőrös	hairy
menyasszony	bride
sógor	brother-in-law
vőlegény	fiancé
rokon	relative
unoka	grandchild
szőke	blonde
esős	rainy
napos	sunny
szeles	windy
helyes	correct
széles	wide
ló	horse
dal	song
level	letter
példa	example
gesztenye	chestnut
diót	walnut
mogyorót	peanut
sor	queue
nadrág	pants
valamit	something
állatkert	zoo
járda	sidewalk
lemondás	resignation
báb	puppet
hadszíntér	battlefield
többség	majority; predominantly
vidéki	rural, countryside
zsidó	Jewish
áldozat	victim
tehető	is estimated
megtámad	to attack
tengelyhatalmak	Axis Powers
csapat	team; troops, platoon
megszáll	to occupy
őszi	autumnal, of autumn
mintegy	about, approximately
aláírás	signature
békeszerződés, békediktátum	peace treaty
csökken	to decrease
reked	to get stuck
alapvető	main, fundamental
felülvizsgálat	revision
valamin kívül	outside of something
trónörökös	heir to the throne
merénylő	assassin
meggyilkol	to kill
szövetséges	Allied, Allies
szemben	opposite
szinte	nearly, almost
több	more
hurcol	deport, drag away
döntés	decision, award
jóvátétel	reparation
továbbá	furthermore
kötelez	oblige
ígér	promise
valami ellenére	despite something
elhagy	to leave (a place)
felszámol	to crush, dismantle
kijelöl	appoint, designate
fémjelzett	associated with
temetés	funeral
rendszer	system
váltás	change, switch
megszűnik	cease to exist
választás	election
választ	choose
köztársaság	republic
elnök	president, chairman
alakul	be formed
végleg	for good, permanently
gondol	think
irodalom	literature
személyiség	personality
nép	folk
dallam	melody
lekottáz	notate, transcribe
lejegyez	record, write down
képviselő	representative
színvonal	standard, level
alkotó	creator (artist)
mű	work of art
alak	figure
dicsér	praise
veszély	danger
folyóirat	journal
kapu	gate
előd	predecessor
összefonódás	connection, entanglement
vallomás	confession
változat	version
tétel	item
öröm	joy
hattyú	swan
szív	heart
különleges	special
elfogad	accept, adopt
hatályba lép	enter into force
biztos	sure
érték	value
megőriz	preserve
képvisel	represent
módosít	to amend
költségvetés	budget
végrehajtó	executive
kapcsolat	relationship
bizalom	confidence, trust
irányít	direct
összehangol	to coordinate
jogszabály	legal regulation
rendvédelem	defence
ügy	case, affairs
környezet	environment
beruházás	investment
település	settlement
őrködik	oversee
államszervezet	state organization
fölött, felett	above, over
titkos	secret
legfeljebb	at most
alkalom	occasion
főparancsnok	commander in chief
alakuló ülés	inaugural session
összehív	convene, call together
feloszlat	dissolve
eset	case
feljesztés, feljődes	improvement, development
jogegyenlőség	legal equality
egyezmény	convention
joghatóság	jurisdiction
alábbi	following
megkülönböztet	distinguish, differentiate
egyesülési szabadság	freedom of association
lelkiismereti szabadság	freedom of conscience
szólásszabadság	freedom of speech
sajtószabadság	freedom of the press
fogyatékkal élők	people with disabilities
mérföldkő	milestone
the	a, az
window	ablak
short, low	alacsony
stand	áll
apple	alma
sleepy	álmos
American	amerikai
English	angol
table, desk	asztal
car	autó
introduction	bemutatkozás
inside, in	bent
to speak	beszél
judge	bíró
sorry, excuse me	bocsánat, elnézést
happy	boldog
shop	bolt
pepper	bors
wine	bor
bus	busz
pencil	ceruza
lemon	citrom
just, only	csak
silent quiet	csendes
cup	csésze
to do	csinál
spicy	csípős
chicken meat	csirke
I kiss your hand	csókolom
South, noon	dél
student	diák
pig	disznó
to work	dolgozni
lunch	ebéd
sweet	édes
one, a	egy
hungry	éhes
night	éjszaká
farewell	elköszönés
live, exist	él
people	ember
to sing	énekel
I, me	én
strawberry	eper
building	épület
understand	értem
and	és
to eat	eszik
food, meal	étel
year	év
this, it	ez
tired	fáradt
tree	fa
black	fekete
man	férfi
young	fiatal
delicious, fine, tasty	finom
boy	fiú
i have no idea	fogalmam sincs
boss	főnök
fresh	friss
to run	fut
notebook, exercise book	füzet
mushroom	gomba
weak	gyenge
fruit	gyümölcs
how much	hány
three, 3	három
six, 6	hat
house	ház
How should I say it?	hogy mondják
that, how	hogy
where	hol
meat	hús
yes	igen
writer	író
write	ír
school	iskola
drink	ital
here	itt
good, all right, okay	jó
soldier	katona
coffee	kávé
bread	kenyer
Can I ask you something?	kérdezhetek valamit?
I look for	keresek
garden	kert
bitter	keserű
small, little	kicsi, kis
outside	kint
I wish	kívánok
who	ki
book	könyv
library	könyvtar
hospital	kórház
pear	körte
greetings	köszönés
thank you	köszönöm
potato	krumpli
I am a foreigner	külföldi vagyok
dog	kutyá
girl, daughter	lány
to see	látni
bird	madár
tall, high	magas
Hungarian	magyar
beef	marhahús
stop, (tram, bus, metro)	megálló
angry	mérges
engineer	mérnök
why	miért
what kind	milyen
always, all the time	mindig
minus, negative	mínusz
What does it mean?	mit jelent az
what do you say	mit mondasz
what	mi
now	most (hu)
artist	művész
big, large	nagy
very, a lot	nagyon
sun, day	nap
orange	narancs
four	négy
not	nem
I don't know	nem tudom
I do not have	nincs
woman	nő
zero	nulla
open	nyitva
eight	nyolc
calm, relaxed	nyugodt
he, she	ő
clock, watch	óra
doctor, physician	orvos
(at) home	otthon
there	ott
train station	pályaudvar
of course	persze
market	piac
relax, rest	pihen
waiter	pincér
red	piros, vörös
glass	pohár
politician	politikus
morning	reggel
policeman	rendőr
airport	repülőtér
to fly	repül
rice	rizs
sick, badly, poorly	rosszul
unfortunately	sajnos
cheese	sajt
salad	saláta
sour	savanyú
no problem	semmi baj
walk	séta
rush, hurry	siet
driver	sofőr
beer	sör
salt	só
to bake	süt
cook	szakács
hotel	szálloda
chair	szék
beautiful, nice, pretty	szép
very much	szépen
in love with	szerelmes
lucky	szerencsés
hello	szervusz, szia
actress	színésznő
you are welcome	szívesen
thirsty	szomjas
sad	szomorú
terrible awful	szörnyű
dictionary	szótar
text	szöveg
word	szó
pause, break	szünet
introduction meeting	találkozás
teacher	tanár
to dance	tánc
classroom	tanterem
to study	tanul
milk	tej
telephone	telefon
here you are	tessék
pasta	tészta
you	te
ten	tíz
perfect	tökéletes
pen	toll
I see, I know	tudom
firefighter	tűzoltó
I welcome you	üdvözlöm
lawyer	ügyvéd
new	új
to sit	ül
boring	unalmas
I am	vagyok
you are	vagy
butter	vaj
there is	van
city, town	város
to wait	vár
bright, clear	világos
Everything is clear	világos minden
bye, goodbye, see you	viszlát
goodbye, bye, see you later	viszontlátásra
water	víz
closed	zárva
vegetables	zöldség
profession	foglalkozás
age	életkor
language	nyelv
can be	lehet
nationality	nemzetiség
really	tényleg
husband	férj
wife	feleség
once again	még egyszer
interesting	érdekes
I like	tetszik
as I think, IMHO	szerintem
family	család
mother	anya, édesanya
father	apa, édesapa
my mother	anyukam
useful	hasznos
important	fontos
because	mert
number	szám
two	kettő
five	öt
seven	hét
nine	kilenc
eleven	tizenegy
twenty	húsz
thirty	harminc
forty	negyven
fifty	ötven
sixty	hatvan
hundred	száz
two hundred	kétszáz
thousand	ezer
hundred thousands	százezer
one million	egymillió
many	sok
few	kéves
half	fél
tram	villamos
first	első
second	második
third	harmadik
how tall	milyen magas
dialogue	párbeszéd
world	világ
place	hely
poet	költő
composer	zeneszerző
singer	énekes
painter	festő
actor	színész
university student	egyetemista
IT specialist	informatikus
assistant	asszisztens
businessman	üzletember
athlete	sportoló
philosopher	filozófus
psychologist	pszichológus
librarian	könyvtáros
inventor	feltaláló
researcher	kutató
shop assistant / seller	eladó
mother of a family	családanya
householder	háztartásbeli
father-in-law	após
mother-in-law	anyós
response	válasz
pensioner	nyugdíjas
grandparent	nagyszülő
grandmother	nagymama
grandfather	nagypapa
parent	szülő
mom	anyuka
dad	apuka
child	gyerek gyermek
older sister	nővér
older brother	báty
younger sister	húg
younger brother	öcs
spouse	házastárs
sibling	testvér tesó
usually	általában
everyone	mindenki
maybe	talán
enough	elég
so good	olyan jol
not yet good	még nem jol
friend	barát
joke	vicc
too good	túl jó
my head hurts	fáj a fejem
great	remek, remekül
yet, still	még
already	már
small coins	apró pénz
cash money	készpénz
ID card	igazolvány
key	kulcs
earphones	fülhallgató
mirror	tükör
handkerchief	zsebkendő
charger	töltő
often	gyakran
sometimes	néhá
antipathetic	antipatikus
friendly, amicable	barátságos
unfriendly	barátságtalan
pretty	csinos
ugly	csúnya
disgusting	ellenszenves
fresh, energetic	friss, energikus
nervous	ideges
elderly	idős
good mood	jókedvű
handsome	jóképű
slim	karcsú
kind	kedves
light weight, easy	könnyű
fat	kövér
lazy	lusta
plus-sized	molett
heavy	nehéz
likeable, appealing, sympathetic	rokonszenves
bad mood	rosszkedvű
old object	régi
skinny	sovány
bearded	szakállas
sympathetic	szimpatikus
hardworking	szorgalmas
dark	sötét
patient	türelmes
impatient	türelmetlen
cheerful	vidám
thin	vékony
old age (living)	öreg
just a second	csak egy pillanat
to drive	vezetni
to draw	rajzolni
to paint	festeni
ski	síel
product	termék
kindergarten	óvoda
wallet	pénztárca
sunglasses	napszemüveg
property, feature	tulajdonsag
warm	meleg
cold	hideg
sick	beteg
healthy	egészséges
strong	erős
slow	lassú
stupid	buta, hülye
umbrella	esernyő
jacket	kabát
earth, land, ground	föld
ship	hajó
train	vonat
clean	tiszta
true or false	igaz vagy hamis
already, just now	már is, azonnal
mood	hangulat
favourite	kedvenc
to give	adni
messy, disorderly	rendetlen
famous	hires
former	egykori
lecture	előadás
weekday	hétköznap
fundamental, base	alap
law	törvény
respect	tisztelet
constitution	alkotmány
achievement	elérés, vívmány
to embody	megtestesít
body	test
continuity	folytonosság
unity	egység
memory	emlék
revolution	forradalom
war, fight	harc
foundation	alapítás
to wear something	visel valamit
print	nyomtat
read	olvas
chat	csetel
get up	felkel
stay at home	otthon marad
look	néz
listen	hallgat
party	bulizik
sleep	alszik, aludni
play	játszik
under, below	alatt
brown	barna
bug, beetle	bogár
frog	béka
kitten	cica
cherry	cseresznye
striped	csíkos
Thursday	csütörtök
sugar	cukor
expensive	drága
all, entire	egész
in front of	előtt
eat	enni
evening	este
rain	eső
white	fehér
lie	fekszik
cloudy	felhős
tooth	fogat
degree	fok
river	folyó
blow	fúj
to bathe	fürdeni
to cook	főzni
rich, wealthy	gazdag
fast	gyors
lizard	gyík
mountain	hegy
tomorrow	holnap
the day after tomorrow	holnapután
from where	honnan
long	hosszú
where to	hova, hová
Monday	hétfő
weekend	hétvége
bridge	híd
snow	hó
madam	hölgyem
over here	ide
weather, date, time	idő
shirt	ing
from here	innen
to drink	inni, iszik
ice	jég
come	jön
duck	kacsa
Tuesday	kedd
cost, get somewhere	kerül
starts, begins	kezdődik
shout	kiabál
early	korán
blue	kék
question	kérdés
between, among	között
reside	lakik
to be	lenni
will have	lesz
today	ma
cat	macska
monkey, ape	majom
next to	mellett
to go	menni, megy
when	mikor
every, all	minden
brush, wash	mos
smile	mosolyog
work	munka
deep	mély
honey	méz
behind	mögött
quarter	negyed
summer	nyár
a few, a couple of, some	néhány
to there	oda
smart, clever	okos
cheap	olcsó
from there, of there	onnan
lion	oroszlán
tomato	paradicsom
minute	perc
butterfly	pillangó
shelf	polc
fitting room	próbafülke
Friday	péntek
director	rendező
rarely	ritkán
dress	ruha
short, brief	rövid
day off	szabadnap
wind	szelet
Wednesday	szerda
like	szeret
Saturday	szombat
dry	száraz
scarf	sál
yellow	sárga
fried, grilled	sült
spring	tavasz
sea	tenger
secretary	titkárnő
egg	tojás
bag	táska
winter	tél
square	tér
fire	tűz
cucumber	uborka
Sir	uram
travel	utazik
street	utca
dinner	vacsora
Sunday	vasárnap
buy	venni, vesz
to do shopping	vásárolni
green	zöld
animal	állat
price	ára
midnight	éjfél
restaurant	étterem
kindergarten teacher	óvónő
glad, happy	örül
belt	öv
swim	úszik
path, road	út
holiday	ünnepnap
glass, bottle	üveg
shop, business	üzlet
parking lot	parkoló
petrol station	benzinkút
gym	konditerem
cinema	mozi
grocery	élelmiszer
pub	kocsma
dormitory	kollégium
playground	játszótér
hairdresser	fodrász
butcher	hentes
background, prior event	előzmény
empire	birodalom, császárság
kingdom	királyság
part	rész
significant	jelentős, meghatározó
limited	korlátozott
autonomy	önállóság
news	hír
to arrive	érkezik
to break out	kitör/kirobban
press	nyomda
prison	börtön
youngsters	ifjak
to gather	gyűlik
bourgeoisie	polgárság
demand	követelés
to make them stand by them	maguk mellé állít
to get sy free	kiszabadít
bread loaf / shoe	cipő
glove	kesztyű
slippers	papucs
bed	ágy
suitcase	bőrönd
expressions	kifejezések
reign	uralkodás
to commit	elköteleződni
final	végleges
end	vég
right	jobb
left	bal
relic	ereklye
procession	körmenet
round	kör
territory	terület
war	háború
to withdraw	kivonul
army	hadsereg
support	támogat
to take over	átvesz
one party system	egypártrendszer
create, establish	kialakít
different	eltérő
profess/hold views	vall
church institution	egyház
intelligentsia	értelmiség
to persecute	üldöz
hate	gyűlölt, utál
leader	vezető
conquest	honfoglalás
steppe	sztyeppe
wandering, migration	vándorlás
follow	követ
tribe	törzs
Carpathian Basin	Kárpát-medence
to settle	letelepedni
loyalty	hűség
hope	remény
month	hónap
death	halál
throne conflict	trónviszály
issue, publish	kiad
most important	legfontosabb
public law	közjogi
which	ami, amely
nobles	nemesek
law, right	jog
summarize	összegez
come from, originate	származik
fight	harcot vív
border	határ
join	csatlakozik
troops	seregek
expansion	terjeszkedés
bell ring	harangszó
victory	diadal
golden age	fénykor
become	válik
occupation	hódoltság
severe	súlyos
defeat	vereség
center	központ
approximately	közel
among	közül
stand out	kiemelkedik
siege	ostrom
lose	elveszít
percent	százalék
begin, start, depart	indul
be born	szület
social	társadalmi
change	változás
take place, happen	zajlott
king's representative	nádor
approval	jóváhagyás
responsible	felelős
government	kormány
member	tag
minister of interior	belügyminiszter
minister of finance	pénzügyminiszter
minister of war	hadügyminiszter
industry	ipar
trade	kereskedelem
common, public	köz
science	tudomány
agriculture	mezőgazdaság
connecting	összekötő
stone bridge	kőhíd
goal	cél
official	hivatalos
protection	védelem
frame, framework	keret
relation	viszony
dismantling, abolition	lebontás
suppress	lever
army general	tábornok
put down	letesz
gun, arms	fegyver
army officer	honvédtiszt
execute, kill	kivégez
to sentence	itél
forced labour	kényszermunká
most (en)	legtöbb
to abolish, see semmi	megsemmisit
public administration	közigazgatas
martyr	vértanú
How much	Mennyi
How many	Hány
matches	gyufa
hole	lyuk
name	név
chicken bird	tyúk
newspaper	újság
astronaut	űrhajós
country	ország
capital city	főváros
tell stories	mesél
office	iroda
computer	számítógép
printer	nyomtató
comfortable	kényelmes
uncomfortable	kényelmetlen
pleasant	kellemes
gorgeous / wonderful	gyönyörű
free / available	szabad
busy	elfoglalt
it works	működik
to help	segít
to send	küld
to receive / get	kap
line (phone)	vonal
practise	gyakorol
department store	áruház
shopping centre	bevásárlóközpont
theatre	színház
café	kávézó
cake shop	cukrászda
swimming pool	uszoda
crossroad	kereszteződés
city centre	belváros
church building	templom
bicycle	bicikli / kerékpár
on foot	gyalog
ticket	jegy
straight ahead	egyenesen
to turn	fordul
not far	nincs messze
side	oldalon
