#separator:tab
#html:true
a, az	the
játszik	play
alatt	under, below
barna	brown
bogár	bug, beetle
béka	frog
cica	kitten
cseresznye	cherry
csíkos	striped
csütörtök	Thursday
cukor	sugar
drága	expensive
egész	all, entire
előtt	in front of
enni	eat
este	evening
eső	rain
fehér	white
fekszik	lie
felhős	cloudy
fogat	tooth
fok	degree
folyó	river
fölött	above, over
fúj	blow
fürdeni	to bathe
főzni	to cook
gazdag	rich, wealthy
gyors	fast
gyík	lizard
hegy	mountain
holnap	tomorrow
holnapután	the day after tomorrow
honnan	from where
hosszú	long
hova	where to
hétfő	Monday
hétvége	weekend
híd	bridge
hó	snow
hölgyem	madam
ide	over here
idő	weather, date, time
ing	shirt
innen	from here
inni, iszik	to drink
jég	ice
jön	come
kacsa	duck
kedd	Tuesday
kerül	cost
kezdődik	starts, begins
kiabál	shout
korán	early
kék	blue
kérdés	question
között	between, among
lakik	reside
lenni	to be
lesz	will have
ma	today
macska	cat
majom	monkey, ape
mellett	next to
menni, megy	to go
mikor	when
minden	every, all
mos	brush, wash
mosolyog	smile
munka	work
mély	deep
méz	honey
mögött	behind
negyed	quarter
nyár	summer
néhány	a few, a couple of, some
oda	to there
okos	smart, clever
olcsó	cheap
onnan	from there, of there
oroszlán	lion
paradicsom	tomato
perc	minute
pillangó	butterfly
polc	shelf
próbafülke	fitting room
péntek	Friday
rendező	director
ritkán	rarely
ruha	dress
rövid	short, brief
szabadnap	day off
szelet	wind
szerda	Wednesday
szeret	like
szombat	Saturday
száraz	dry
sál	scarf
sárga	yellow
sült	fried, grilled
tavasz	spring
tenger	sea
titkárnő	secretary
tojás	egg
táska	bag
tél	winter
tér	square
tűz	fire
uborka	cucumber
uram	Sir
utazik	travel
utca	street
vacsora	dinner
vasárnap	Sunday
venni, vesz	buy
vásárolni	to do shopping
zöld	green
állat	animal
ára	price
éjfél	midnight
étterem	restaurant
óvónő	kindergarten teacher
örül	glad, happy
öv	belt
úszik	swim
út	path, road
ünnepnap	holiday
üveg	glass, bottle
üzlet	shop, business
parkoló	parking lot
benzinkút	petrol station
konditerem	gym
mozi	cinema
élelmiszer	grocery
kocsma	pub
kollégium	dormitory
játszótér	playground
fodrász	hairdresser
hentes	butcher
előzmény	background, prior event
birodalom, császárság	empire
királyság	kingdom
rész	part
jelentős	significant
korlátozott	limited
önállóság	autonomy
hír	news
érkezik	to arrive
kitör/kirobban	to break out
nyomda	press
börtön	prison
ifjak	youngsters
gyűlik	to gather
polgárság	bourgeoisie
követelés	demand
maguk mellé állít	to make them stand by them
kiszabadít	to get sy free
cipő	bread loaf / shoe
kesztyű	glove
papucs	slippers
ágy	bed
bőrönd	suitcase
kifejezések	expressions
uralkodás	reign
elköteleződni	to commit
végleges	final
vég	end
jobb	right
bal	left
ereklye	relic
körmenet	procession
kör	round
